Coin X, Coin Y,Volume Coin X,Volume Coin Y,Updated,Spread,Strategy,normalised spread (ZSCORE),Rolling ZScore,Profile (Clustering Analysis),X | Y (Conditional Likelihood),Y | X (Conditional Likelihood),Copula-based Correlation,Cointegration Jn (Johansen Test),Cointegration EG (Engle-Granger Test),Hurst Exponent,Half Life,0sigma,2sigma,Coin X Annualized Volatility,Coin Y Annualized Volatility,VaR (Value at Risk @ 99%),CVaR (Conditional Value at Risk @ 99%),MDD (Maximum Drawdown),Net Return (Net Backtest Return),Sharpe (Sharpe Ratio)
COMPUSDT,WIFUSDT,259.5K,4.5M,2025-Feb-12 00:16:23 UTC,Not applicable,Copula,-0.52,-0.02,false,69.5%,3.5%,22.7%,false,true,0.63,2.7,67,11,107.8%,161.2%,-28.8%,-36.5%,-35.1%,135.8%,0.89
1000BONKUSDT,1000PEPEUSDT,734.3K,7.9M,2025-Feb-12 00:10:51 UTC,Not applicable,Copula,-0.08,-0.04,true,4.1%,91.1%,80.7%,true,false,0.82,8.6,40,7,142.0%,148.2%,-10.1%,-13.1%,-22.1%,124.9%,1.66
CRVUSDT,UNIUSDT,585.5K,2.1M,2025-Feb-12 00:09:38 UTC,Not applicable,Copula,-0.68,0.10,true,73.9%,36.8%,63.7%,false,false,0.98,9.3,40,5,119.3%,110.6%,-5.2%,-10.8%,-11.8%,108.5%,1.76
CRVUSDT,LQTYUSDT,201.9K,11.8K,2025-Feb-12 00:01:28 UTC,Not applicable,Copula,-1.12,-0.22,true,87.3%,17.4%,73.5%,true,true,0.99,3.8,31,8,119.3%,133.9%,-7.4%,-11.1%,-12.6%,94.4%,1.60
KSMUSDT,RSRUSDT,87.1K,240.5K,2025-Feb-11 00:15:13 UTC,Not applicable,Copula,-0.69,0.77,false,13.3%,84.5%,35.3%,false,true,0.73,1.5,38,4,109.4%,168.4%,-10.6%,-17.0%,-29.0%,88.9%,1.09
BCHUSDT,MEMEUSDT,171.0K,46.1K,2025-Feb-12 00:02:03 UTC,Not applicable,Copula,0.10,0.38,true,63.2%,1.0%,47.1%,false,true,0.48,0.4,136,17,82.7%,123.7%,-5.9%,-11.3%,-18.1%,83.4%,1.47
ARUSDT,GRTUSDT,27.0K,18.9K,2025-Feb-12 00:00:59 UTC,Not applicable,Copula,-0.39,1.16,true,5.0%,45.2%,65.9%,false,true,0.87,6.1,37,5,130.5%,105.6%,-9.9%,-14.4%,-26.7%,82.1%,1.13
CRVUSDT,LQTYUSDT,201.9K,11.8K,2025-Feb-12 00:01:28 UTC,Static AutoRegressive Moving Average,Spread,-1.58,-0.49,true,87.3%,17.4%,73.5%,true,true,0.90,6.9,27,4,119.3%,133.9%,-6.9%,-9.5%,-11.2%,79.3%,1.59
SANDUSDT,XVGUSDT,910.8K,68.5K,2025-Feb-11 00:15:08 UTC,Not applicable,Copula,-0.01,0.24,false,10.7%,92.1%,86.4%,false,true,1.01,8.7,20,7,136.6%,125.2%,-2.8%,-19.2%,-26.1%,78.1%,0.79
ONEUSDT,RSRUSDT,106.5K,266.7K,2025-Feb-11 00:18:56 UTC,Not applicable,Copula,-0.68,-1.33,false,23.6%,86.9%,41.6%,false,true,1.06,5.4,24,9,113.6%,168.4%,-14.8%,-17.0%,-27.0%,75.5%,0.89
ARUSDT,CELRUSDT,393.3K,81.8K,2025-Feb-11 00:14:43 UTC,Not applicable,Copula,0.04,1.62,false,0.8%,76.2%,54.5%,false,true,0.96,6.4,36,4,130.4%,108.1%,-8.9%,-12.2%,-29.4%,69.1%,1.08
AGLDUSDT,FXSUSDT,830.4K,141.8K,2025-Feb-11 00:18:54 UTC,Dynamic - Kalman Filter,Spread,-1.19,-1.01,false,97.3%,0.1%,35.7%,false,false,1.06,9.5,23,7,129.3%,118.1%,-9.6%,-17.7%,-26.6%,62.6%,0.95
BELUSDT,HFTUSDT,173.3K,73.5K,2025-Feb-12 00:05:13 UTC,Ornstein-Uhlenbeck,Rolling Z-Score,2.92,0.37,true,99.5%,0.1%,74.5%,false,false,1.10,0.0,13,4,112.8%,94.0%,-8.2%,-20.9%,-38.5%,61.8%,0.93
ONEUSDT,RSRUSDT,106.5K,266.7K,2025-Feb-11 00:18:56 UTC,Dynamic - Kalman Filter,Spread,-0.68,-1.33,false,23.6%,86.9%,41.6%,false,true,1.06,5.4,24,9,113.6%,168.4%,-4.6%,-7.8%,-30.1%,61.7%,0.80
BELUSDT,IOTXUSDT,325.7K,57.7K,2025-Feb-12 00:09:29 UTC,Ornstein-Uhlenbeck,Rolling Z-Score,4.81,0.76,true,99.0%,0.0%,81.5%,false,false,1.07,0.0,51,2,112.8%,109.0%,-8.0%,-15.2%,-36.8%,61.7%,1.04
BCHUSDT,TLMUSDT,880.3K,122.6K,2025-Feb-12 00:19:41 UTC,Not applicable,Copula,0.08,-0.18,false,71.2%,1.8%,61.2%,false,true,0.60,0.5,130,16,82.7%,108.6%,-5.6%,-8.1%,-23.5%,60.6%,1.26
BELUSDT,RDNTUSDT,162.8K,16.8K,2025-Feb-12 00:05:04 UTC,Ornstein-Uhlenbeck,Rolling Z-Score,2.40,0.27,true,99.2%,0.2%,38.7%,false,false,1.12,0.0,7,2,112.8%,107.4%,-7.3%,-16.3%,-41.7%,57.3%,0.90
GRTUSDT,SNXUSDT,241.1K,176.2K,2025-Feb-12 00:17:10 UTC,Static AutoRegressive Moving Average,Spread,-1.70,-1.56,false,99.3%,0.0%,95.3%,true,true,0.91,7.9,25,3,105.6%,101.6%,-2.7%,-3.6%,-8.0%,54.8%,1.60
AVAXUSDT,IOTAUSDT,2.0M,131.3K,2025-Feb-11 00:07:01 UTC,Not applicable,Copula,0.17,0.86,true,3.1%,95.3%,81.9%,false,true,0.57,6.5,37,2,94.0%,107.6%,-2.3%,-7.4%,-10.4%,54.4%,1.43
AGLDUSDT,FXSUSDT,830.4K,141.8K,2025-Feb-11 00:18:54 UTC,Not applicable,Copula,-1.19,-1.01,false,97.3%,0.1%,35.7%,false,false,1.06,9.5,23,7,129.3%,118.1%,-7.8%,-15.9%,-26.6%,53.4%,0.88
LTCUSDT,QNTUSDT,9.2M,134.0K,2025-Feb-11 00:13:13 UTC,Not applicable,Copula,-2.18,-2.10,true,99.5%,2.1%,76.7%,false,false,1.31,9.3,25,6,106.8%,85.9%,-7.1%,-10.7%,-15.8%,49.3%,1.04
BELUSDT,LINAUSDT,162.5K,81.8K,2025-Feb-12 00:05:01 UTC,Ornstein-Uhlenbeck,Rolling Z-Score,3.15,-0.23,true,99.8%,0.1%,51.6%,false,false,1.04,0.0,5,3,112.7%,113.9%,-7.8%,-17.0%,-44.4%,48.0%,0.75
SOLUSDC,SPELLUSDT,528.2K,274.3K,2025-Feb-11 00:16:17 UTC,Not applicable,Copula,-0.39,0.49,false,74.2%,65.5%,40.0%,false,true,0.46,0.9,91,9,83.2%,123.9%,-6.5%,-9.6%,-17.6%,47.1%,1.14
SOLUSDT,SPELLUSDT,17.6M,282.0K,2025-Feb-12 00:16:44 UTC,Not applicable,Copula,-0.57,0.22,false,75.1%,57.7%,39.8%,false,true,0.51,0.8,91,9,83.1%,122.3%,-6.5%,-9.6%,-17.8%,46.9%,1.14
CRVUSDT,UNIUSDT,585.5K,2.1M,2025-Feb-12 00:09:38 UTC,Dynamic - Kalman Filter,Spread,-0.68,0.10,true,73.9%,36.8%,63.7%,false,false,0.98,9.3,40,5,119.3%,110.6%,-4.1%,-6.3%,-22.7%,46.7%,1.44
DEFIUSDT,DOGEUSDC,12.1K,387.5K,2025-Feb-12 00:13:52 UTC,Not applicable,Copula,-0.11,0.18,false,11.4%,91.7%,70.8%,false,true,0.50,0.7,164,9,82.1%,99.4%,-8.4%,-19.0%,-23.8%,46.0%,0.69
